Acquired on 12/16/2025 at 17:12:12
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.704315
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  1.704315
Channel Width: 25.000 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (dB)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1.60513477E+003	1.86770895E+005	-5.26077347E+001	4.76022250E+003	-8.73889176E+005	1.15071964E+001	3.11711493E+003	-1.94219122E-001	-4.78424172E+000	1.96595463E-003	1.03694108E-003	1.94737837E-003	1.49624646E-003	9.75303622E-001	2.13759922E+000	2.83645830E+000	2.89125752E+000	1.83441248E-002	-1.40000000E+002	1.60801309E+003	-4.98940210E+001	-6.14012174E+001	3.34381371E+006	1.55011049E+001	1.53521233E+001
   1.60513614E+003	1.86770735E+005	-5.54350053E+001	3.56076922E+003	-2.06701851E+006	3.06525469E+001	1.69845063E+003	2.78979923E-002	-6.09213213E+000	1.92778247E-003	8.38552134E-004	1.03049195E-003	4.90233800E-004	8.14972581E-001	-2.37062128E+000	3.79297630E-001	-2.96899934E+000	1.98728019E-002	-1.40000000E+002	1.60779551E+003	-5.24284408E+001	-8.30809877E+001	3.38358294E+006	1.55055790E+001	1.53515741E+001
   1.60513752E+003	1.86770576E+005	-5.46160229E+001	7.23685938E+002	3.55710333E+006	6.03340878E+000	2.48402844E+003	3.09694160E+000	-4.74434700E+000	3.90063245E-004	1.21950183E-003	1.98668073E-003	1.15020202E-003	8.53452744E-001	9.49619764E-001	-8.35700076E-001	1.62721486E+000	2.14014790E-002	-1.40000000E+002	1.60752734E+003	-5.25722643E+001	-5.86056731E+001	2.71946247E+006	1.55102606E+001	1.53509910E+001
   1.60513889E+003	1.86770416E+005	-5.53778984E+001	5.60599133E+003	-1.64327746E+006	1.28869313E+001	2.07193583E+003	1.26674074E+000	-8.48705727E+000	2.18657113E-003	2.16345028E-004	7.87495515E-004	5.91138176E-004	1.73137398E+000	-1.61433441E-001	1.91576185E+000	1.28025865E+000	2.29301561E-002	-1.40000000E+002	1.60736039E+003	-5.25854462E+001	-6.54723776E+001	1.26015562E+006	1.55141140E+001	1.53505250E+001
   1.60514026E+003	1.86770256E+005	-5.68238146E+001	3.35050551E+003	-6.77031996E+005	7.85019779E+000	1.08085996E+003	1.69985106E+000	-1.01577073E+001	1.31863098E-003	1.16848198E-003	9.22928288E-004	4.46997899E-004	-9.80777852E-001	5.62194290E-001	-9.33308505E-001	-1.43530152E+000	2.44588331E-002	-1.40000000E+002	1.60774167E+003	-5.44732367E+001	-6.23234344E+001	1.55101247E+006	1.55162093E+001	1.53503163E+001
   1.60514164E+003	1.86770096E+005	-5.05831954E+001	2.42124146E+003	7.44555740E+004	1.05792407E+001	1.05516823E+003	3.06544951E+000	-1.10871202E+001	2.80308991E-003	2.43558231E-003	1.92134573E-003	7.65570077E-005	-7.09885167E-001	1.24485363E+000	-1.28729663E+000	-1.24999718E+000	2.59875102E-002	-1.40000000E+002	1.60733623E+003	-4.79372427E+001	-5.85164834E+001	1.47965719E+006	1.55185787E+001	1.53500652E+001
   1.60514301E+003	1.86769937E+005	-5.57214722E+001	2.52343605E+003	-7.41925738E+005	6.05785450E+000	2.76167848E+003	4.32849880E+000	-1.23103331E+001	1.68275562E-003	2.17053744E-004	9.78265680E-004	1.23318204E-003	1.24837958E+000	1.91262028E+000	-3.13949599E+000	1.98969422E+000	2.75161873E-002	-1.40000000E+002	1.60761666E+003	-5.36728470E+001	-5.97307015E+001	2.27929529E+006	1.55221445E+001	1.53496312E+001
   1.60514438E+003	1.86769777E+005	-5.14541776E+001	1.50509824E+003	7.87000061E+005	5.15917433E+000	1.45484340E+003	6.61341901E+000	-1.27029261E+001	2.12626935E-003	1.39081924E-003	2.15469029E-003	1.79192841E-003	7.27568615E-001	-1.72985167E+000	2.26998182E+000	1.99762217E+000	2.90448643E-002	-1.40000000E+002	1.60678158E+003	-4.95994751E+001	-5.47586494E+001	1.75079823E+006	1.55258194E+001	1.53491777E+001
   1.60514575E+003	1.86769617E+005	-5.89601706E+001	2.58530512E+003	1.08225630E+006	1.01216085E+001	1.50628258E+003	7.81438458E+000	-1.43707246E+001	6.12891755E-004	6.72592762E-005	8.79480449E-004	1.17788049E-003	5.18712888E-001	-2.04953776E+000	-2.70793614E+000	2.54093183E+000	3.05735414E-002	-1.40000000E+002	1.60745177E+003	-5.63528818E+001	-6.64744903E+001	1.85834779E+006	1.55282558E+001	1.53489136E+001
   1.60514713E+003	1.86769458E+005	-5.38629477E+001	4.07077223E+003	-6.99384588E+005	1.08981292E+001	2.87571401E+003	7.52472924E+000	-1.77203950E+001	1.17024291E-003	1.55968287E-003	1.95855280E-003	7.61187753E-004	1.37611974E+000	9.94276056E-001	-9.65253766E-001	-1.27644299E+000	3.21022185E-002	-1.40000000E+002	1.60769163E+003	-5.11921824E+001	-6.20903116E+001	4.04235322E+006	1.55314780E+001	1.53485247E+001
   1.60514850E+003	1.86769298E+005	-4.79854114E+001	3.11081979E+003	-2.17501046E+006	4.35983501E+000	2.36640462E+003	8.19835688E+000	-2.02980334E+001	3.69009488E-003	2.08812228E-003	2.53808423E-003	2.71764506E-003	-1.87084585E-001	2.21104277E+000	-1.64484874E+000	3.04124437E+000	3.36308955E-002	-1.40000000E+002	1.60782802E+003	-4.63310536E+001	-5.06908886E+001	2.41986349E+006	1.55346842E+001	1.53481362E+001
   1.60514987E+003	1.86769138E+005	-5.12411146E+001	1.25466366E+002	1.83798853E+006	9.82761742E+000	9.88899671E+002	1.18676956E+001	-2.00712116E+001	3.05267047E-003	1.81244712E-003	7.36518253E-004	1.37199840E-003	-8.23738742E-001	2.00279209E+000	-7.36979581E-001	-2.62675913E+000	3.51595726E-002	-1.40000000E+002	1.60739336E+003	-4.86606985E+001	-5.84883159E+001	1.88230007E+006	1.55380741E+001	1.53477160E+001
   1.60515124E+003	1.86768978E+005	-4.76837967E+001	2.64823802E+003	1.48734531E+006	1.82069447E+001	3.48725294E+002	1.30055099E+001	-2.25671652E+001	4.34004991E-003	2.33836925E-003	2.44988216E-003	1.94574007E-003	1.98300460E+000	1.85049489E-001	1.85637448E+000	5.09277897E-001	3.66882497E-002	-1.40000000E+002	1.60712777E+003	-4.47386339E+001	-6.29455786E+001	7.29533188E+005	1.55413703E+001	1.53473088E+001
   1.60515262E+003	1.86768819E+005	-4.76631476E+001	4.68973008E+003	-1.02121615E+006	1.45692707E+001	1.05251994E+003	1.20947492E+001	-2.73029447E+001	4.45774589E-003	2.20777442E-003	2.13586075E-003	2.22410506E-003	2.19915425E+000	5.74926980E-001	-2.85084482E+000	1.31306297E+000	3.82169268E-002	-1.40000000E+002	1.60788200E+003	-4.48019150E+001	-5.93711857E+001	1.90631426E+006	1.55419621E+001	1.53473423E+001
   1.60515399E+003	1.86768659E+005	-5.23220602E+001	3.28803255E+003	-9.95409182E+004	1.23094539E+001	1.66709024E+003	1.25905493E+001	-3.08234144E+001	1.69609027E-003	6.40487139E-004	2.37180996E-003	1.67474629E-003	2.94211757E-002	7.59876027E-001	-2.15362501E+000	-2.61660459E+000	3.97456038E-002	-1.40000000E+002	1.60764895E+003	-4.95597204E+001	-6.18691743E+001	1.22919430E+006	1.55427341E+001	1.53473464E+001
   1.60515536E+003	1.86768499E+005	-5.06422233E+001	3.15140477E+003	-3.36588901E+005	1.27171192E+001	5.69856153E+002	1.32234511E+001	-3.43980333E+001	3.56097849E-003	1.34057783E-003	1.25948731E-003	1.08936334E-003	-2.34046642E-001	2.71739223E+000	-1.31516847E+000	2.93215939E+000	4.12742809E-002	-1.40000000E+002	1.60768091E+003	-4.78582354E+001	-6.05753545E+001	1.20129070E+006	1.55437671E+001	1.53473072E+001
   1.60515673E+003	1.86768340E+005	-5.40778488E+001	2.68940910E+003	3.47406692E+004	1.11892001E+001	5.71831205E+002	1.43199515E+001	-3.77003045E+001	2.33793066E-003	5.49867896E-004	1.32197885E-003	5.52076332E-004	-1.40855238E-001	1.76161557E+000	-1.60794918E+000	-3.08704715E+000	4.28029580E-002	-1.40000000E+002	1.60791957E+003	-5.13858598E+001	-6.25750598E+001	2.66617038E+005	1.55422605E+001	1.53476969E+001
   1.60515811E+003	1.86768180E+005	-4.69652326E+001	2.73709358E+003	1.73922677E+005	7.73607120E+000	1.06669281E+003	1.53686020E+001	-4.12416767E+001	2.89716659E-003	8.45979829E-004	4.22409725E-003	3.64331379E-003	-7.61139936E-001	1.66791731E+000	-1.67079357E+000	-2.37947896E+000	4.43316350E-002	-1.40000000E+002	1.60795816E+003	-4.46309214E+001	-5.23669926E+001	1.34948056E+006	1.55431338E+001	1.53476828E+001
   1.60515948E+003	1.86768020E+005	-5.07935715E+001	2.97581743E+003	2.42769792E+005	5.91864604E+000	8.03940336E+002	1.61777004E+001	-4.52138518E+001	2.92642710E-003	1.75428119E-003	3.50538836E-004	2.21259171E-003	-1.26283286E+000	1.23043186E+000	-9.58358579E-002	-1.96494577E+000	4.58603121E-002	-1.40000000E+002	1.60771892E+003	-4.87729548E+001	-5.46916008E+001	6.96123478E+005	1.55445592E+001	1.53475738E+001
   1.60516085E+003	1.86767861E+005	-5.01834153E+001	3.30904045E+003	3.30115532E+005	6.42608670E+000	2.23046471E+003	1.66524196E+001	-4.97116570E+001	2.67644560E-003	2.15442263E-003	2.56400152E-003	8.91026052E-004	-2.00713095E+000	-3.73991772E-001	1.54857551E-001	-6.06776863E-001	4.73889892E-002	-1.40000000E+002	1.60795255E+003	-4.80640904E+001	-5.44901771E+001	2.08991435E+006	1.55464830E+001	1.53473777E+001
   1.60516222E+003	1.86767701E+005	-5.49028650E+001	3.76215399E+003	-7.46283789E+005	1.66875867E+001	2.45343925E+003	1.66724533E+001	-5.48553988E+001	2.21447388E-003	6.70771095E-004	8.68329090E-004	5.99817656E-004	3.10834904E+000	-1.17356051E+000	-2.98779921E+000	-3.49638330E-001	4.89176663E-002	-1.40000000E+002	1.60787674E+003	-5.19846972E+001	-6.86722839E+001	3.24800812E+006	1.55487546E+001	1.53471199E+001
   1.60516360E+003	1.86767541E+005	-5.72609337E+001	2.73780997E+003	3.75812847E+005	1.03856582E+001	2.66267434E+003	1.77203849E+001	-5.91624936E+001	1.75822713E-003	4.99677697E-004	1.51112294E-004	6.27654578E-004	1.65665178E+000	-4.39460032E-002	2.56086884E+000	1.44491514E+000	5.04463433E-002	-1.40000000E+002	1.60805491E+003	-5.46308821E+001	-6.50165403E+001	3.44062703E+006	1.55517036E+001	1.53467409E+001
   1.60516497E+003	1.86767381E+005	-4.99424200E+001	3.25364900E+003	1.95287039E+006	2.08857467E+001	2.37264365E+003	1.82506878E+001	-6.41784680E+001	4.26703366E-003	6.56321850E-004	1.16953831E-003	5.10663304E-004	2.65014044E+000	-9.05526541E-001	2.79123645E+000	1.49907944E-001	5.19750204E-002	-1.40000000E+002	1.60778860E+003	-4.69673932E+001	-6.78531399E+001	6.26523766E+005	1.55528650E+001	1.53466803E+001
   1.60516634E+003	1.86767222E+005	-5.31376774E+001	5.93415470E+003	-3.08866900E+006	1.71184075E+001	1.41065697E+003	1.60911850E+001	-7.20754990E+001	2.24763471E-003	3.46039544E-004	2.01714880E-003	6.85906329E-004	-2.82492009E+000	1.13311852E+000	-2.77283786E+000	1.51986465E-001	5.35036975E-002	-1.40000000E+002	1.60736423E+003	-5.02108918E+001	-6.73292994E+001	1.71958069E+006	1.55549686E+001	1.53464495E+001
   1.60516771E+003	1.86767062E+005	-6.45084358E+001	1.69464701E+003	1.05028835E+006	1.31885182E+001	2.80235996E+003	1.81858988E+001	-7.59095644E+001	5.10625291E-004	1.20394025E-004	5.29237096E-004	3.91056153E-004	1.67073954E+000	-1.59570771E+000	-8.02978981E-001	1.68840787E+000	5.50323745E-002	-1.40000000E+002	1.60795030E+003	-6.17017060E+001	-7.48902242E+001	1.65651984E+006	1.55577457E+001	1.53460952E+001
   1.60516909E+003	1.86766902E+005	-5.01734004E+001	3.13627547E+003	-3.06097844E+005	1.19514129E+001	1.48726043E+003	1.88339824E+001	-8.13815109E+001	4.12268351E-003	8.99264104E-004	6.78613396E-004	9.75439214E-004	1.87726707E+000	-3.00318721E+000	-2.83302770E+000	1.19868660E+000	5.65610516E-002	-1.40000000E+002	1.60823650E+003	-4.74317231E+001	-5.93831360E+001	2.11280763E+006	1.55604800E+001	1.53457474E+001
   1.60517046E+003	1.86766743E+005	-4.99353300E+001	2.71612407E+003	2.91638467E+005	1.30059109E+001	4.23107795E+002	1.99036751E+001	-8.66230992E+001	4.07126775E-003	1.34195416E-003	6.18815890E-004	1.24139019E-003	1.68342489E+000	1.97677163E+000	1.70848097E+000	1.54326278E+000	5.80897287E-002	-1.40000000E+002	1.60794431E+003	-4.71371321E+001	-6.01430430E+001	1.08548956E+006	1.55635768E+001	1.53453310E+001
   1.60517183E+003	1.86766583E+005	-5.43162997E+001	3.11642915E+003	-1.73056737E+004	1.60673504E+000	1.83938908E+003	2.05716740E+001	-9.24576324E+001	1.17085303E-003	1.43181897E-003	1.66848403E-003	1.09454419E-003	2.60959332E+000	2.36868964E+000	-2.46453450E+000	7.11352494E-001	5.96184057E-002	-1.40000000E+002	1.60792964E+003	-5.35868166E+001	-5.51935516E+001	1.71902401E+006	1.55660676E+001	1.53450267E+001
   1.60517320E+003	1.86766423E+005	-5.39315857E+001	3.09267521E+003	-1.54141882E+005	9.55729841E+000	2.08398050E+003	2.12635091E+001	-9.84595802E+001	1.67917646E-003	3.23565388E-004	1.51478460E-003	1.69400810E-003	2.53203717E+000	-1.77372783E+000	-7.81822766E-001	7.04997381E-001	6.11470828E-002	-1.40000000E+002	1.60807695E+003	-5.13773756E+001	-6.09346740E+001	2.36024824E+006	1.55693533E+001	1.53445713E+001
   1.60517458E+003	1.86766263E+005	-4.74290263E+001	2.88109822E+003	1.76357431E+005	1.30260612E+001	4.97578781E+002	2.21676553E+001	-1.04440468E+002	5.12871922E-003	4.50434405E-004	2.82546802E-003	1.28905584E-003	2.85885466E+000	-9.14980317E-001	1.43387746E+000	1.87124923E-001	6.26757599E-002	-1.40000000E+002	1.60784689E+003	-4.46298701E+001	-5.76559313E+001	1.86118577E+006	1.55730268E+001	1.53440404E+001
   1.60517595E+003	1.86766104E+005	-5.15540475E+001	3.12316895E+003	7.96722994E+005	1.06181624E+001	1.56936990E+003	2.28288910E+001	-1.10855517E+002	2.44813353E-003	2.37696994E-003	1.50660848E-003	2.65684887E-004	-2.92923311E+000	-2.38039830E+000	2.21295471E+000	9.49672109E-001	6.42044370E-002	-1.40000000E+002	1.60766822E+003	-4.89049756E+001	-5.95231380E+001	2.03725013E+006	1.55750552E+001	1.53438240E+001
   1.60517732E+003	1.86765944E+005	-5.09603133E+001	4.21676419E+003	-3.93172053E+005	1.33405024E+001	2.89761550E+003	2.23927372E+001	-1.18559207E+002	1.06250518E-003	3.17811878E-003	1.00063181E-003	1.94981648E-003	-7.00091464E-001	-2.67095875E+000	-2.96222264E+000	2.65000964E+000	6.57331140E-002	-1.40000000E+002	1.60826938E+003	-4.81467389E+001	-6.14872412E+001	2.15099576E+006	1.55790666E+001	1.53432225E+001
   1.60517870E+003	1.86765784E+005	-5.14346096E+001	3.67708876E+003	-1.56417148E+005	1.63358536E+001	2.36363020E+003	2.24981312E+001	-1.25912599E+002	3.34507111E-003	7.92351378E-004	1.42877073E-003	7.17640630E-004	-1.41576222E+000	-3.01175931E+000	-1.72260933E+000	-2.21679845E+000	6.72617911E-002	-1.40000000E+002	1.60850870E+003	-4.85241253E+001	-6.48599788E+001	3.40655016E+006	1.55832174E+001	1.53425919E+001
   1.60518007E+003	1.86765625E+005	-4.97324542E+001	3.46238725E+003	-8.04605238E+005	6.63268524E+000	6.54412843E+002	2.28189716E+001	-1.33241797E+002	3.48628635E-003	2.09350514E-003	3.36590846E-004	2.14955516E-003	-2.09805019E+000	7.07521660E-001	-3.26502384E-001	-1.07851609E+000	6.87904682E-002	-1.40000000E+002	1.60613879E+003	-4.75755446E+001	-5.42082299E+001	1.85395915E+006	1.55868872E+001	1.53420542E+001
   1.60518144E+003	1.86765465E+005	-4.87617181E+001	2.35796705E+003	3.09577713E+005	6.16618699E+000	4.94906571E+002	2.42480640E+001	-1.39653993E+002	4.08868453E-003	1.42926747E-003	9.82811728E-004	2.62154494E-003	-2.01371836E+000	6.07963309E-001	-2.24617459E+000	-9.96744731E-001	7.03191452E-002	-1.40000000E+002	1.60798297E+003	-4.66917887E+001	-5.28579757E+001	7.11345707E+005	1.55898651E+001	1.53416524E+001
   1.60518281E+003	1.86765305E+005	-4.95932714E+001	2.78290148E+003	5.82567337E+005	2.04800831E+001	1.18019375E+003	2.52507476E+001	-1.46683849E+002	4.24372674E-003	1.28012986E-003	1.26675492E-003	8.43177789E-004	-1.39053810E+000	-1.47615859E+000	-1.18727857E+000	-1.54098106E+000	7.18478223E-002	-1.40000000E+002	1.60820689E+003	-4.66216829E+001	-6.71017660E+001	1.61735873E+006	1.55940270E+001	1.53410123E+001
   1.60518419E+003	1.86765146E+005	-5.12605631E+001	3.58254993E+003	-1.20151581E+006	9.25129852E+000	1.68542806E+003	2.54510084E+001	-1.54707378E+002	2.60096542E-003	2.54403440E-003	1.07218132E-003	7.58119410E-004	-1.23129736E+000	-3.68716672E-001	5.35034881E-001	-2.14135599E+000	7.33764994E-002	-1.40000000E+002	1.60829962E+003	-4.87378448E+001	-5.79891433E+001	1.34463460E+006	1.55989225E+001	1.53402221E+001
   1.60518556E+003	1.86764986E+005	-4.98041897E+001	1.93331242E+003	5.39482140E+005	1.30557395E+001	2.66919227E+003	2.73062288E+001	-1.61267199E+002	4.01257435E-003	1.55600527E-003	8.78987882E-004	1.27587306E-003	-1.88520506E+000	8.07992769E-001	-2.77431342E+000	-1.00729025E+000	7.49051765E-002	-1.40000000E+002	1.60873754E+003	-4.70036297E+001	-6.00593692E+001	1.55889906E+006	1.56037045E+001	1.53394529E+001
   1.60518693E+003	1.86764826E+005	-5.21186973E+001	2.67382344E+003	5.41733898E+005	1.16521280E+001	2.18037488E+003	2.84183689E+001	-1.68761352E+002	1.59253934E-003	2.95496699E-003	6.89728893E-004	7.31563636E-004	-1.45144141E+000	-2.35031764E+000	2.61375456E+000	-2.16313461E+000	7.64338535E-002	-1.40000000E+002	1.60772873E+003	-4.93955640E+001	-6.10476921E+001	3.37023689E+006	1.56076786E+001	1.53388472E+001
   1.60518830E+003	1.86764666E+005	-4.95901478E+001	3.41742658E+003	3.17669626E+003	1.78441790E+001	7.83615413E+002	2.87843260E+001	-1.77192938E+002	2.61524405E-003	3.53806582E-003	1.33651068E-003	9.14164510E-004	-2.19786495E+000	-2.03837656E+000	2.41999831E+000	3.02591960E+000	7.79625306E-002	-1.40000000E+002	1.60780949E+003	-4.66506136E+001	-6.44947927E+001	1.62653212E+006	1.56127234E+001	1.53380186E+001
   1.60518968E+003	1.86764507E+005	-4.68318713E+001	3.42178703E+003	-1.05465996E+006	2.06243704E+001	2.84446006E+003	2.91459075E+001	-1.85820151E+002	5.98746192E-003	1.07419498E-003	1.88022451E-003	9.70337080E-004	-2.57410124E+000	-4.30592678E-001	-2.94793860E+000	-6.49182609E-001	7.94912077E-002	-1.40000000E+002	1.60833429E+003	-4.38590232E+001	-6.44833936E+001	5.39902393E+006	1.56164193E+001	1.53374690E+001
   1.60519105E+003	1.86764347E+005	-5.61271795E+001	1.97411846E+003	1.00270477E+006	1.87760334E+001	1.61437670E+003	3.09601802E+001	-1.93185923E+002	1.38003227E-003	1.39590455E-003	6.82628070E-004	7.48177417E-004	-2.52131050E+000	-2.75306084E+000	1.32398745E+000	5.31840507E-001	8.10198847E-002	-1.40000000E+002	1.60842018E+003	-5.31740693E+001	-7.19501027E+001	1.41455265E+006	1.56193405E+001	1.53370808E+001
   1.60519242E+003	1.86764187E+005	-5.57082494E+001	3.35047361E+003	1.87988595E+005	1.94956448E+001	2.02327498E+003	3.13933226E+001	-2.02124077E+002	1.88421241E-003	2.14666692E-004	1.32373392E-003	1.55706431E-004	-2.54123453E+000	-4.39669851E-002	2.71902288E-001	-8.21007739E-001	8.25485618E-002	-1.40000000E+002	1.60756341E+003	-5.27464551E+001	-7.22420999E+001	2.99493789E+006	1.56231166E+001	1.53365109E+001
